State,Year,Degree,Count
Alabama,2017,Undergraduate,20
Alabama,2017,Professional,14
Alabama,2017,Graduate,2
Alabama,2016,Undergraduate,17
Alabama,2016,Professional,15
Alabama,2016,Graduate,2
Alabama,2015,Undergraduate,15
Alabama,2015,Professional,15
Alabama,2015,Graduate,1
Alabama,2014,Undergraduate,10
Alabama,2014,Professional,17
Alabama,2014,Graduate,0
Alabama,2013,Undergraduate,7
Alabama,2013,Professional,11
Alabama,2013,Graduate,1
Alabama,2012,Undergraduate,9
Alabama,2012,Professional,10
Alabama,2012,Graduate,1
Alabama,2011,Undergraduate,15
Alabama,2011,Professional,10
Alabama,2011,Graduate,2
Alabama,2010,Undergraduate,13
Alabama,2010,Professional,7
Alabama,2010,Graduate,2
Alabama,2009,Undergraduate,13
Alabama,2009,Professional,7
Alabama,2009,Graduate,2
Alabama,2008,Undergraduate,12
Alabama,2008,Professional,8
Alabama,2008,Graduate,2
Alabama,2007,Undergraduate,11
Alabama,2007,Professional,9
Alabama,2007,Graduate,3
Alabama,2006,Undergraduate,11
Alabama,2006,Professional,9
Alabama,2006,Graduate,1
Alabama,2005,Undergraduate,16
Alabama,2005,Professional,5
Alabama,2005,Graduate,0
Alabama,2004,Undergraduate,16
Alabama,2004,Professional,8
Alabama,2004,Graduate,0
Alabama,2003,Undergraduate,23
Alabama,2003,Professional,26
Alabama,2003,Graduate,0
Alabama,2002,Undergraduate,22
Alabama,2002,Professional,23
Alabama,2002,Graduate,0
Alabama,2001,Undergraduate,21
Alabama,2001,Professional,20
Alabama,2001,Graduate,0
Alabama,2000,Undergraduate,20
Alabama,2000,Professional,21
Alabama,2000,Graduate,1
Alabama,1999,Undergraduate,19
Alabama,1999,Professional,21
Alabama,1999,Graduate,2
Alabama,1998,Undergraduate,13
Alabama,1998,Professional,18
Alabama,1998,Graduate,2
Alabama,1997,Undergraduate,14
Alabama,1997,Professional,1
Alabama,1997,Graduate,22
Alabama,1996,Undergraduate,14
Alabama,1996,Professional,0
Alabama,1996,Graduate,24
Alabama,1995,Undergraduate,12
Alabama,1995,Professional,0
Alabama,1995,Graduate,20
Alabama,1994,Undergraduate,8
Alabama,1994,Professional,0
Alabama,1994,Graduate,12
Alabama,1993,Undergraduate,10
Alabama,1993,Professional,0
Alabama,1993,Graduate,10
Alabama,1992,Undergraduate,13
Alabama,1992,Professional,0
Alabama,1992,Graduate,10
Alabama,1991,Undergraduate,11
Alabama,1991,Professional,1
Alabama,1991,Graduate,10
Alabama,1990,Undergraduate,11
Alabama,1990,Professional,1
Alabama,1990,Graduate,14
Alabama,1989,Undergraduate,7
Alabama,1989,Professional,1
Alabama,1989,Graduate,9
Alabama,1988,Undergraduate,8
Alabama,1988,Professional,0
Alabama,1988,Graduate,13
Alabama,1987,Undergraduate,13
Alabama,1987,Professional,0
Alabama,1987,Graduate,12
Alabama,1986,Undergraduate,10
Alabama,1986,Professional,0
Alabama,1986,Graduate,15
Alabama,1985,Undergraduate,5
Alabama,1985,Professional,0
Alabama,1985,Graduate,12
Alabama,1984,Undergraduate,8
Alabama,1984,Professional,0
